date,open,high,low,close,volume,ma50,ma200
2025-11-28 09:45:00,5.47,5.48,5.45,5.46,4828100,,
2025-11-28 10:00:00,5.46,5.46,5.45,5.45,1354900,,
2025-11-28 10:15:00,5.45,5.47,5.45,5.46,1788800,,
2025-11-28 10:30:00,5.46,5.47,5.45,5.46,1323500,,
2025-11-28 10:45:00,5.45,5.46,5.45,5.45,1091100,,
2025-11-28 11:00:00,5.45,5.47,5.45,5.46,1471500,,
2025-11-28 11:15:00,5.46,5.47,5.45,5.46,1986300,,
2025-11-28 11:30:00,5.46,5.47,5.45,5.45,1788700,,
2025-11-28 13:15:00,5.45,5.46,5.45,5.45,759200,,
2025-11-28 13:30:00,5.45,5.46,5.45,5.45,1483800,,
2025-11-28 13:45:00,5.46,5.47,5.45,5.46,1296200,,
2025-11-28 14:00:00,5.46,5.47,5.46,5.47,716100,,
2025-11-28 14:15:00,5.46,5.47,5.46,5.46,744600,,
2025-11-28 14:30:00,5.46,5.47,5.46,5.46,1021700,,
2025-11-28 14:45:00,5.46,5.48,5.46,5.47,2643700,,
2025-11-28 15:00:00,5.46,5.48,5.46,5.47,1581000,,
2025-12-01 09:45:00,5.47,5.48,5.46,5.48,4509200,,
2025-12-01 10:00:00,5.47,5.49,5.47,5.48,3276700,,
2025-12-01 10:15:00,5.49,5.51,5.48,5.5,3746400,,
2025-12-01 10:30:00,5.5,5.51,5.49,5.51,3657500,,
2025-12-01 10:45:00,5.5,5.51,5.49,5.5,2401800,,
2025-12-01 11:00:00,5.5,5.51,5.5,5.51,2534100,,
2025-12-01 11:15:00,5.51,5.51,5.5,5.51,1192100,,
2025-12-01 11:30:00,5.51,5.51,5.5,5.5,841800,,
2025-12-01 13:15:00,5.5,5.52,5.5,5.51,1963900,,
2025-12-01 13:30:00,5.52,5.52,5.5,5.51,941100,,
2025-12-01 13:45:00,5.51,5.51,5.5,5.5,898900,,
2025-12-01 14:00:00,5.51,5.52,5.5,5.51,1602200,,
2025-12-01 14:15:00,5.51,5.53,5.51,5.53,2845200,,
2025-12-01 14:30:00,5.53,5.54,5.52,5.54,3031100,,
2025-12-01 14:45:00,5.53,5.55,5.53,5.53,2722100,,
2025-12-01 15:00:00,5.54,5.55,5.53,5.54,2364900,,
2025-12-02 09:45:00,5.54,5.57,5.53,5.57,4711500,,
2025-12-02 10:00:00,5.57,5.57,5.55,5.56,3978600,,
2025-12-02 10:15:00,5.56,5.58,5.56,5.56,5076300,,
2025-12-02 10:30:00,5.56,5.59,5.56,5.58,4075300,,
2025-12-02 10:45:00,5.58,5.58,5.57,5.57,1358400,,
2025-12-02 11:00:00,5.58,5.58,5.56,5.58,1821800,,
2025-12-02 11:15:00,5.58,5.58,5.57,5.57,1057700,,
2025-12-02 11:30:00,5.57,5.58,5.56,5.56,2329400,,
2025-12-02 13:15:00,5.56,5.57,5.56,5.57,1427200,,
2025-12-02 13:30:00,5.57,5.57,5.56,5.57,1040000,,
2025-12-02 13:45:00,5.56,5.57,5.56,5.56,1041200,,
2025-12-02 14:00:00,5.57,5.58,5.56,5.57,3036300,,
2025-12-02 14:15:00,5.57,5.58,5.56,5.57,1640100,,
2025-12-02 14:30:00,5.56,5.58,5.56,5.57,1728100,,
2025-12-02 14:45:00,5.57,5.58,5.56,5.58,1360900,,
2025-12-02 15:00:00,5.58,5.58,5.56,5.58,2238400,,
2025-12-03 09:45:00,5.58,5.59,5.55,5.59,4419600,,
2025-12-03 10:00:00,5.58,5.6,5.58,5.59,3216600,5.516,
2025-12-03 10:15:00,5.59,5.62,5.58,5.62,5457100,5.5192000000000005,
2025-12-03 10:30:00,5.62,5.63,5.61,5.62,3668200,5.5226,
2025-12-03 10:45:00,5.62,5.64,5.62,5.64,4621000,5.5262,
2025-12-03 11:00:00,5.63,5.64,5.63,5.64,2142200,5.5298,
2025-12-03 11:15:00,5.64,5.65,5.63,5.64,5552500,5.5336,
2025-12-03 11:30:00,5.64,5.65,5.63,5.65,2640600,5.5374,
2025-12-03 13:15:00,5.65,5.66,5.64,5.65,7103900,5.5412,
2025-12-03 13:30:00,5.65,5.66,5.65,5.66,2251900,5.545400000000001,
2025-12-03 13:45:00,5.66,5.66,5.65,5.66,1656000,5.549599999999999,
2025-12-03 14:00:00,5.66,5.66,5.64,5.64,3599600,5.5534,
2025-12-03 14:15:00,5.64,5.65,5.64,5.64,3743800,5.557,
2025-12-03 14:30:00,5.64,5.65,5.63,5.64,3111000,5.5604,
2025-12-03 14:45:00,5.64,5.66,5.64,5.66,3825800,5.564400000000001,
2025-12-03 15:00:00,5.66,5.66,5.65,5.65,4972200,5.568200000000001,
2025-12-04 09:45:00,5.66,5.7,5.66,5.68,11392000,5.5724,
2025-12-04 10:00:00,5.68,5.69,5.66,5.67,4886600,5.576400000000001,
2025-12-04 10:15:00,5.67,5.69,5.67,5.67,2476500,5.5802,
2025-12-04 10:30:00,5.68,5.68,5.67,5.67,2326100,5.584,
2025-12-04 10:45:00,5.67,5.69,5.67,5.69,2860500,5.5878,
2025-12-04 11:00:00,5.69,5.69,5.68,5.68,2504400,5.5912,
2025-12-04 11:15:00,5.68,5.7,5.68,5.69,5265500,5.595,
